Experiment,DateTime,Hs,D50,h,Λ,λ,λp,reset2
WQS1409,2014-09-03T02:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.451831498,0.398562824,false
WQS1409,2014-09-03T03:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.449625023,0.398562824,false
WQS1409,2014-09-03T04:00:00.0,0.71,0.00066,8.56759846,22.28710537596433,0.447975733,0.398562824,false
WQS1409,2014-09-03T05:00:00.0,0.77,0.00066,8.56759846,26.213102117455367,0.448855272,0.398562824,false
WQS1409,2014-09-03T06:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.446675922,0.398562824,false
WQS1409,2014-09-03T07:00:00.0,0.74,0.00066,8.56759846,24.210313239194736,0.44344064,0.398562824,false
WQS1409,2014-09-03T08:00:00.0,0.85,0.00066,8.56759846,31.942935199631474,0.44396863,0.398562824,false
WQS1409,2014-09-03T09:00:00.0,0.87,0.00066,8.56759846,33.46381682020909,0.445121936,0.398562824,false
WQS1409,2014-09-03T10:00:00.0,0.95,0.00066,8.56759846,39.90103670265385,0.442836151,0.398562824,false
WQS1409,2014-09-03T11:00:00.0,0.92,0.00066,8.56759846,37.42076173421188,0.440838113,0.398562824,false
WQS1409,2014-09-03T12:00:00.0,0.87,0.00066,8.56759846,33.46381682020909,0.440429451,0.398562824,false
WQS1409,2014-09-03T13:00:00.0,0.88,0.00066,8.56759846,34.23752113300293,0.43552436,0.398562824,false
WQS1409,2014-09-03T14:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.430221102,0.398562824,false
WQS1409,2014-09-03T15:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.428650365,0.398562824,false
WQS1409,2014-09-03T16:00:00.0,0.78,0.00066,8.56759846,26.89838308021563,0.422954525,0.398562824,false
WQS1409,2014-09-03T17:00:00.0,0.73,0.00066,8.56759846,23.560401616447905,0.421715749,0.398562824,false
WQS1409,2014-09-03T18:00:00.0,0.89,0.00066,8.56759846,35.02006778080013,0.420209472,0.398562824,false
WQS1409,2014-09-03T19:00:00.0,0.79,0.00066,8.56759846,27.59250637797925,0.415353168,0.398562824,false
WQS1409,2014-09-03T20:00:00.0,0.76,0.00066,8.56759846,25.536663489698466,0.409777091,0.398562824,false
WQS1409,2014-09-03T21:00:00.0,0.72,0.00066,8.56759846,22.91933232870444,0.407340575,0.398562824,false
WQS1409,2014-09-03T22:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.406115457,0.398562824,false
WQS1409,2014-09-03T23:00:00.0,0.65,0.00066,8.56759846,18.679432694594187,0.401862096,0.398562824,false
WQS1409,2014-09-04T00:00:00.0,0.54,0.00066,8.56759846,12.892124434896248,0.402134162,0.398562824,false
WQS1409,2014-09-04T01:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.399798671,0.398562824,false
WQS1409,2014-09-04T02:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.402903417,0.398562824,false
WQS1409,2014-09-04T03:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.402454826,0.398562824,false
WQS1409,2014-09-04T04:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.402491783,0.398562824,false
WQS1409,2014-09-04T05:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.402565159,0.398562824,false
WQS1409,2014-09-04T06:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.401725195,0.398562824,false
WQS1409,2014-09-04T07:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.398588894,0.398562824,false
WQS1409,2014-09-04T08:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.397080556,0.398562824,false
WQS1409,2014-09-04T09:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.400824647,0.398562824,false
WQS1409,2014-09-04T10:00:00.0,0.46,0.00066,8.56759846,9.35519043355297,0.399146362,0.398562824,false
WQS1409,2014-09-04T11:00:00.0,0.57,0.00066,8.56759846,14.364373212955385,0.399727075,0.398562824,false
WQS1409,2014-09-04T12:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.400467755,0.398562824,false
WQS1409,2014-09-04T13:00:00.0,0.5,0.00066,8.56759846,11.052918754197743,0.40116474,0.398562824,false
WQS1409,2014-09-04T14:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.402596746,0.398562824,false
WQS1409,2014-09-04T15:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.400658948,0.398562824,false
WQS1409,2014-09-04T16:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.398700441,0.398562824,false
WQS1409,2014-09-04T17:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.395119949,0.398562824,false
WQS1409,2014-09-04T18:00:00.0,0.5,0.00066,8.56759846,11.052918754197743,0.392566248,0.398562824,false
WQS1409,2014-09-04T19:00:00.0,0.54,0.00066,8.56759846,12.892124434896248,0.392378092,0.398562824,false
WQS1409,2014-09-04T20:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.394813337,0.398562824,false
WQS1409,2014-09-04T21:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.397346693,0.398562824,false
WQS1409,2014-09-04T22:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.398835907,0.398562824,false
WQS1409,2014-09-04T23:00:00.0,0.64,0.00066,8.56759846,18.109102086877584,0.398436454,0.398562824,false
WQS1409,2014-09-05T00:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.402342625,0.398562824,false
WQS1409,2014-09-05T01:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.401040836,0.398562824,false
WQS1409,2014-09-05T02:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.400395324,0.398562824,false
WQS1409,2014-09-05T03:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.396619672,0.398562824,false
WQS1409,2014-09-05T04:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.396491665,0.398562824,false
WQS1409,2014-09-05T05:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.397291436,0.398562824,false
WQS1409,2014-09-05T06:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.397510363,0.398562824,false
WQS1409,2014-09-05T07:00:00.0,0.4,0.00066,8.56759846,7.073868002686557,0.399876511,0.398562824,false
WQS1409,2014-09-05T08:00:00.0,0.49,0.00066,8.56759846,10.615223171531511,0.398174451,0.398562824,false
WQS1409,2014-09-05T09:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.398562824,0.398562824,false
WQS1409,2014-09-05T10:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.39438692,0.398562824,false
WQS1409,2014-09-05T11:00:00.0,0.42,0.00066,8.56759846,7.798939472961926,0.398305617,0.398562824,false
WQS1409,2014-09-05T12:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.395009466,0.398562824,false
WQS1409,2014-09-05T13:00:00.0,0.44,0.00066,8.56759846,8.559380283250732,0.394356413,0.398562824,false
WQS1409,2014-09-05T14:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.39091732,0.398562824,false
WQS1409,2014-09-05T15:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.395424347,0.398562824,false
WQS1409,2014-09-05T16:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.393599676,0.398562824,false
WQS1409,2014-09-05T17:00:00.0,0.39,0.00066,8.56759846,6.724595770053908,0.391160498,0.398562824,false
WQS1409,2014-09-05T18:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.39401038,0.398562824,false
WQS1409,2014-09-05T19:00:00.0,0.46,0.00066,8.56759846,9.35519043355297,0.389283059,0.398562824,false
WQS1409,2014-09-05T20:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.389336909,0.398562824,false
WQS1409,2014-09-05T21:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.388715195,0.398562824,false
WQS1409,2014-09-05T22:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.393671832,0.398562824,false
WQS1409,2014-09-05T23:00:00.0,0.48,0.00066,8.56759846,10.18636992386864,0.389520144,0.398562824,false
WQS1409,2014-09-06T00:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.392507386,0.398562824,false
WQS1409,2014-09-06T01:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.395946096,0.398562824,false
WQS1409,2014-09-06T02:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.388810463,0.398562824,false
WQS1409,2014-09-06T03:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.394220674,0.398562824,false
WQS1409,2014-09-06T04:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.39559808,0.398562824,false
WQS1409,2014-09-06T05:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.391890804,0.398562824,false
WQS1409,2014-09-06T06:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.394570916,0.398562824,false
WQS1409,2014-09-06T07:00:00.0,0.68,0.00066,8.56759846,20.44347852776415,0.397710908,0.398562824,false
WQS1409,2014-09-06T08:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.396705374,0.398562824,false
WQS1409,2014-09-06T09:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.40234871,0.398562824,false
WQS1409,2014-09-06T10:00:00.0,0.68,0.00066,8.56759846,20.44347852776415,0.404369797,0.398562824,false
WQS1409,2014-09-06T11:00:00.0,0.65,0.00066,8.56759846,18.679432694594187,0.401102556,0.398562824,false
WQS1409,2014-09-06T12:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.406610055,0.398562824,false
WQS1409,2014-09-06T13:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.403778237,0.398562824,false
WQS1409,2014-09-06T14:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.402370494,0.398562824,false
WQS1409,2014-09-06T15:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.399096305,0.398562824,false
WQS1409,2014-09-06T16:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.400733119,0.398562824,false
WQS1409,2014-09-06T17:00:00.0,0.64,0.00066,8.56759846,18.109102086877584,0.397639668,0.398562824,false
WQS1409,2014-09-06T18:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.405942537,0.398562824,false
WQS1409,2014-09-06T19:00:00.0,0.79,0.00066,8.56759846,27.59250637797925,0.400477866,0.398562824,false
